time_start,time_end,pitch
0.146,0.613,60
0.616,1.072,62
1.075,1.536,64
1.540,1.982,62
1.985,2.461,60
2.465,2.916,59
2.920,3.402,60
3.407,3.850,55
3.850,4.297,57
4.305,4.772,57
4.786,5.223,62
5.226,5.691,57
5.695,6.152,60
6.155,6.615,62
6.619,7.076,60
7.080,7.518,59
7.524,7.998,64
8.001,8.461,62
8.465,8.914,60
8.917,9.378,59
9.382,9.613,62
9.617,9.846,60
9.850,10.075,59
10.079,10.312,57
10.316,10.537,62
10.540,10.769,60
10.773,10.998,59
11.002,11.202,57
11.207,11.691,60
11.695,12.152,59
12.157,12.647,56
12.654,13.062,52
13.066,13.998,59
14.002,14.954,57
14.958,15.412,57
15.416,15.869,59
15.872,16.335,61
16.339,16.796,59
16.801,17.204,57
17.208,17.723,56
17.727,18.240,57
18.250,18.659,52
18.665,19.101,54
19.106,19.567,54
19.571,20.047,59
20.053,20.495,54
20.500,20.982,57
20.986,21.404,59
21.408,21.902,57
21.907,22.332,56
22.336,22.792,61
22.796,23.254,59
23.258,23.661,57
23.666,24.175,56
24.179,24.639,59
24.643,25.142,57
25.147,25.580,56
25.586,26.019,54
26.024,26.527,57
26.532,26.977,56
26.982,27.438,53
27.445,27.864,49
27.868,28.817,56
28.822,29.728,54
